# Plot Data for 350 Air 5wt% Pd_Al2O3_PdK_mu_timeseries_nAverage300.dat
#---------------------------------
#  X1          data__mag_    X2         model__mag_  
 0.000000000  0.073492166  0.000000000  0.039896726
 0.030679616  0.072920704  0.030679616  0.039804114
 0.061359232  0.071027006  0.061359232  0.039751864
 0.092038847  0.067439550  0.092038847  0.040319902
 0.122718463  0.062094757  0.122718463  0.042140105
 0.153398079  0.056171461  0.153398079  0.045488234
 0.184077695  0.053526400  0.184077695  0.050080154
 0.214757310  0.060384736  0.214757310  0.055233742
 0.245436926  0.079554169  0.245436926  0.060187160
 0.276116542  0.108408476  0.276116542  0.064352852
 0.306796158  0.143343399  0.306796158  0.067477855
 0.337475773  0.181393821  0.337475773  0.069748343
 0.368155389  0.219971912  0.368155389  0.071835150
 0.398835005  0.256635943  0.398835005  0.074805492
 0.429514621  0.289051863  0.429514621  0.079800462
 0.460194236  0.315051919  0.460194236  0.087535945
 0.490873852  0.332730993  0.490873852  0.097956939
 0.521553468  0.340551236  0.521553468  0.110305432
 0.552233084  0.337439544  0.552233084  0.123458236
 0.582912699  0.322869838  0.582912699  0.136260581
 0.613592315  0.296928821  0.613592315  0.147756661
 0.644271931  0.260375594  0.644271931  0.157345635
 0.674951547  0.214739013  0.674951547  0.164900136
 0.705631162  0.162629765  0.705631162  0.170851472
 0.736310778  0.109158633  0.736310778  0.176206720
 0.766990394  0.069691499  0.766990394  0.182426885
 0.797670010  0.080040904  0.797670010  0.191097523
 0.828349625  0.127514921  0.828349625  0.203429187
 0.859029241  0.180845618  0.859029241  0.219808963
 0.889708857  0.230043319  0.889708857  0.239668560
 0.920388473  0.271098476  0.920388473  0.261715293
 0.951068088  0.301806733  0.951068088  0.284342352
 0.981747704  0.321097621  0.981747704  0.306030908
 1.012427320  0.329044072  1.012427320  0.325676311
 1.043106936  0.327108789  1.043106936  0.342846519
 1.073786552  0.318557773  1.073786552  0.357982511
 1.104466167  0.308930702  1.104466167  0.372509089
 1.135145783  0.306021996  1.135145783  0.388767186
 1.165825399  0.318136610  1.165825399  0.409648962
 1.196505015  0.350331841  1.196505015  0.437900200
 1.227184630  0.401929199  1.227184630  0.475288150
 1.257864246  0.468049260  1.257864246  0.522027141
 1.288543862  0.542590583  1.288543862  0.576725224
 1.319223478  0.619884418  1.319223478  0.636757486
 1.349903093  0.695109866  1.349903093  0.698779235
 1.380582709  0.764265106  1.380582709  0.759172589
 1.411262325  0.824078044  1.411262325  0.814370741
 1.441941941  0.871948682  1.441941941  0.861083282
 1.472621556  0.905923163  1.472621556  0.896457738
 1.503301172  0.924683436  1.503301172  0.918200076
 1.533980788  0.927539018  1.533980788  0.924664062
 1.564660404  0.914412229  1.564660404  0.914911828
 1.595340019  0.885812061  1.595340019  0.888744982
 1.626019635  0.842794530  1.626019635  0.846705314
 1.656699251  0.786909167  1.656699251  0.790045359
 1.687378867  0.720132795  1.687378867  0.720671232
