# Plot Data for 350 H2 5wt% Pd K edge
#---------------------------------
#  X1          data__mag_    X2         model__mag_  
 0.000000000  0.039227611  0.000000000  0.001439413
 0.030679616  0.039423241  0.030679616  0.001470202
 0.061359232  0.039923779  0.061359232  0.001562707
 0.092038847  0.040506290  0.092038847  0.001721460
 0.122718463  0.040899784  0.122718463  0.001963315
 0.153398079  0.040889800  0.153398079  0.002320274
 0.184077695  0.040420900  0.184077695  0.002831641
 0.214757310  0.039700790  0.214757310  0.003529143
 0.245436926  0.039300572  0.245436926  0.004424598
 0.276116542  0.040172673  0.276116542  0.005504642
 0.306796158  0.043407107  0.306796158  0.006729961
 0.337475773  0.049716171  0.337475773  0.008035953
 0.368155389  0.059119058  0.368155389  0.009334189
 0.398835005  0.071127053  0.398835005  0.010515210
 0.429514621  0.085073645  0.429514621  0.011453183
 0.460194236  0.100289109  0.460194236  0.012012639
 0.490873852  0.116144572  0.490873852  0.012057182
 0.521553468  0.132051748  0.521553468  0.011459826
 0.552233084  0.147457604  0.552233084  0.010114496
 0.582912699  0.161843301  0.582912699  0.007948492
 0.613592315  0.174727345  0.613592315  0.004938858
 0.644271931  0.185671212  0.644271931  0.001244857
 0.674951547  0.194285986  0.674951547  0.003665907
 0.705631162  0.200239076  0.705631162  0.008855319
 0.736310778  0.203260528  0.736310778  0.014476623
 0.766990394  0.203148817  0.766990394  0.020237800
 0.797670010  0.199776203  0.797670010  0.025815626
 0.828349625  0.193093987  0.828349625  0.030852362
 0.859029241  0.183138242  0.859029241  0.034972510
 0.889708857  0.170037043  0.889708857  0.037806074
 0.920388473  0.154021241  0.920388473  0.039017774
 0.951068088  0.135443543  0.951068088  0.038344750
 0.981747704  0.114818294  0.981747704  0.035652429
 1.012427320  0.092918484  1.012427320  0.031043024
 1.043106936  0.071050207  1.043106936  0.025147827
 1.073786552  0.051906725  1.073786552  0.020053631
 1.104466167  0.041513293  1.104466167  0.020549543
 1.135145783  0.046298102  1.135145783  0.028997193
 1.165825399  0.061709002  1.165825399  0.042091999
 1.196505015  0.080125227  1.196505015  0.057108035
 1.227184630  0.097766374  1.227184630  0.072538143
 1.257864246  0.112796386  1.257864246  0.087289907
 1.288543862  0.124105185  1.288543862  0.100426701
 1.319223478  0.130958448  1.319223478  0.111135046
 1.349903093  0.132941469  1.349903093  0.118775243
 1.380582709  0.130034229  1.380582709  0.122983097
 1.411262325  0.122814404  1.411262325  0.123828490
 1.441941941  0.112875109  1.441941941  0.122053375
 1.472621556  0.103564123  1.472621556  0.119392335
 1.503301172  0.100575343  1.503301172  0.118819199
 1.533980788  0.110017195  1.533980788  0.124150985
 1.564660404  0.133560931  1.564660404  0.138433620
 1.595340019  0.168028332  1.595340019  0.162242532
 1.626019635  0.209228331  1.626019635  0.193851090
 1.656699251  0.253695900  1.656699251  0.230563557
 1.687378867  0.298625797  1.687378867  0.269588083
 1.718058482  0.341580470  1.718058482  0.308286319
 1.748738098  0.380332192  1.748738098  0.344191520
 1.779417714  0.412814284  1.779417714  0.375002137
 1.810097330  0.437131420  1.810097330  0.398600218
 1.840776945  0.451598884  1.840776945  0.413093278
 1.871456561  0.454794236  1.871456561  0.416869335
 1.902136177  0.445611802  1.902136177  0.408655714
 1.932815793  0.423313922  1.932815793  0.387574643
 1.963495408  0.387575281  1.963495408  0.353191124
 1.994175024  0.338519458  1.994175024  0.305552115
 2.024854640  0.276754079  2.024854640  0.245225706
 2.055534256  0.203443050  2.055534256  0.173396146
 2.086213872  0.120700929  2.086213872  0.092519531
 2.116893487  0.038565518  2.116893487  0.028030413
