# Plot Data for Final H2 5wt% Pd_Al2O3_PdK_mu_timeseries_nAverage300.dat
#---------------------------------
#  X1          data__mag_    X2         model__mag_  
 0.000000000  0.005510031  0.000000000  0.026702197
 0.030679616  0.025761017  0.030679616  0.026561500
 0.061359232  0.048966239  0.061359232  0.026101840
 0.092038847  0.069104352  0.092038847  0.025231272
 0.122718463  0.084616075  0.122718463  0.023859955
 0.153398079  0.094304129  0.153398079  0.021982727
 0.184077695  0.097303342  0.184077695  0.019788831
 0.214757310  0.093120341  0.214757310  0.017804807
 0.245436926  0.081677198  0.245436926  0.016967382
 0.276116542  0.063383904  0.276116542  0.018195294
 0.306796158  0.039482452  0.306796158  0.021505274
 0.337475773  0.016824180  0.337475773  0.026050501
 0.368155389  0.033383391  0.368155389  0.030853643
 0.398835005  0.068609760  0.398835005  0.035106689
 0.429514621  0.106200987  0.429514621  0.038170910
 0.460194236  0.143240313  0.460194236  0.039554514
 0.490873852  0.177749008  0.490873852  0.038920683
 0.521553468  0.208015837  0.521553468  0.036123236
 0.552233084  0.232577299  0.552233084  0.031282676
 0.582912699  0.250268967  0.582912699  0.024985834
 0.613592315  0.260279139  0.613592315  0.018947562
 0.644271931  0.262188401  0.644271931  0.017354188
 0.674951547  0.255988925  0.674951547  0.023174346
 0.705631162  0.242080898  0.705631162  0.033012090
 0.736310778  0.221245684  0.736310778  0.043592730
 0.766990394  0.194597214  0.766990394  0.053179803
 0.797670010  0.163515120  0.797670010  0.060625240
 0.828349625  0.129565990  0.828349625  0.065061664
 0.859029241  0.094426020  0.859029241  0.065861665
 0.889708857  0.059851947  0.889708857  0.062678013
 0.920388473  0.028083618  0.920388473  0.055533136
 0.951068088  0.012403183  0.951068088  0.045027295
 0.981747704  0.032277524  0.981747704  0.033056264
 1.012427320  0.052156866  1.012427320  0.025510336
 1.043106936  0.067146013  1.043106936  0.031830883
 1.073786552  0.076727192  1.073786552  0.048306729
 1.104466167  0.080953187  1.104466167  0.067340381
 1.135145783  0.080158147  1.135145783  0.085368832
 1.165825399  0.074861058  1.165825399  0.100288592
 1.196505015  0.065733006  1.196505015  0.110526602
 1.227184630  0.053703175  1.227184630  0.114900170
 1.257864246  0.040550839  1.257864246  0.112679636
 1.288543862  0.031223076  1.288543862  0.103754243
 1.319223478  0.035471673  1.319223478  0.088993404
 1.349903093  0.053517641  1.349903093  0.071257029
 1.380582709  0.078115717  1.380582709  0.058263082
 1.411262325  0.105568902  1.411262325  0.063311968
 1.441941941  0.133916428  1.441941941  0.087941759
 1.472621556  0.161532715  1.472621556  0.121600679
 1.503301172  0.186793655  1.503301172  0.156893378
 1.533980788  0.208070308  1.533980788  0.189480488
 1.564660404  0.223852689  1.564660404  0.216268317
 1.595340019  0.232958685  1.595340019  0.234908912
 1.626019635  0.234834076  1.626019635  0.243819308
 1.656699251  0.229986871  1.656699251  0.242430652
 1.687378867  0.220626592  1.687378867  0.231661434
 1.718058482  0.211475529  1.718058482  0.214763168
 1.748738098  0.210042608  1.748738098  0.198641158
 1.779417714  0.224347463  1.779417714  0.194428469
 1.810097330  0.257897514  1.810097330  0.212812244
 1.840776945  0.307689738  1.840776945  0.255117669
 1.871456561  0.367359160  1.871456561  0.313780574
 1.902136177  0.430236110  1.902136177  0.379611088
 1.932815793  0.490320363  1.932815793  0.444895738
 1.963495408  0.542367529  1.963495408  0.503418817
 1.994175024  0.581893718  1.994175024  0.550127732
 2.024854640  0.605286135  2.024854640  0.581048149
 2.055534256  0.610031020  2.055534256  0.593422130
 2.086213872  0.595075038  2.086213872  0.586027495
 2.116893487  0.561409501  2.116893487  0.559730228
 2.147573103  0.513114563  2.147573103  0.518462618
 2.178252719  0.459305266  2.178252719  0.470968366
 2.208932335  0.417010146  2.208932335  0.433205583
 2.239611950  0.410795881  2.239611950  0.427814931
 2.270291566  0.458784847  2.270291566  0.472394393
 2.300971182  0.556441334  2.300971182  0.564943863
 2.331650798  0.685582839  2.331650798  0.689628713
 2.362330413  0.829094134  2.362330413  0.829990279
 2.393010029  0.974219533  2.393010029  0.973154503
 2.423689645  1.111384120  2.423689645  1.109268127
 2.454369261  1.233102660  2.454369261  1.230573270
 2.485048876  1.333470605  2.485048876  1.330923162
 2.515728492  1.407989760  2.515728492  1.405606093
 2.546408108  1.453534707  2.546408108  1.451310121
 2.577087724  1.468357301  2.577087724  1.466129778
 2.607767339  1.452078285  2.607767339  1.449563214
 2.638446955  1.405641736  2.638446955  1.402474268
