# Plot Data for PdO Reference_PdK_mu_ref_timeseries_nAverage300.dat
#---------------------------------
#  X1          data__mag_    X2         model__mag_  
 0.000000000  0.036017600  0.000000000  0.048645838
 0.030679616  0.035331372  0.030679616  0.046718845
 0.061359232  0.033648609  0.061359232  0.041457462
 0.092038847  0.032018048  0.092038847  0.034609445
 0.122718463  0.031742367  0.122718463  0.029643716
 0.153398079  0.033452423  0.153398079  0.030620846
 0.184077695  0.036493221  0.184077695  0.037190233
 0.214757310  0.039467360  0.214757310  0.045210876
 0.245436926  0.041098003  0.245436926  0.051365126
 0.276116542  0.040673279  0.276116542  0.053827798
 0.306796158  0.038248985  0.306796158  0.051893608
 0.337475773  0.034857742  0.337475773  0.045941558
 0.368155389  0.032640792  0.368155389  0.037843181
 0.398835005  0.033975728  0.398835005  0.032015853
 0.429514621  0.039162804  0.429514621  0.034372918
 0.460194236  0.046094353  0.460194236  0.044414826
 0.490873852  0.052276740  0.490873852  0.056452385
 0.521553468  0.055886484  0.521553468  0.066256090
 0.552233084  0.055937777  0.552233084  0.071383274
 0.582912699  0.052404846  0.582912699  0.070599691
 0.613592315  0.046561673  0.613592315  0.063846120
 0.644271931  0.041579068  0.644271931  0.052678933
 0.674951547  0.042092520  0.674951547  0.041732927
 0.705631162  0.049872018  0.705631162  0.040394339
 0.736310778  0.061618423  0.736310778  0.052852326
 0.766990394  0.073129734  0.766990394  0.071113490
 0.797670010  0.081503032  0.797670010  0.087911179
 0.828349625  0.085242494  0.828349625  0.099092018
 0.859029241  0.084392759  0.859029241  0.102246794
 0.889708857  0.080992951  0.889708857  0.096417799
 0.920388473  0.079406518  0.920388473  0.082463316
 0.951068088  0.084735038  0.951068088  0.064439801
 0.981747704  0.098448863  0.981747704  0.053543237
 1.012427320  0.116913309  1.012427320  0.064477105
 1.043106936  0.134595967  1.043106936  0.091283665
 1.073786552  0.146432548  1.073786552  0.120376213
 1.104466167  0.148456184  1.104466167  0.143879352
 1.135145783  0.138033559  1.135145783  0.157144301
 1.165825399  0.114255495  1.165825399  0.157567779
 1.196505015  0.079188908  1.196505015  0.144787062
 1.227184630  0.046657421  1.227184630  0.121815665
 1.257864246  0.066624082  1.257864246  0.098356704
 1.288543862  0.124525870  1.288543862  0.095072776
 1.319223478  0.188018110  1.319223478  0.123891877
 1.349903093  0.246766616  1.349903093  0.169048720
 1.380582709  0.294152582  1.380582709  0.213993592
 1.411262325  0.325158021  1.411262325  0.248797448
 1.441941941  0.336728790  1.441941941  0.267368821
 1.472621556  0.328668676  1.472621556  0.266847197
 1.503301172  0.305038317  1.503301172  0.248569944
 1.533980788  0.276346019  1.533980788  0.220665287
 1.564660404  0.261144181  1.564660404  0.202355373
